SOURCE	TARGET	ENZYMES
C00021	C05587	2.1.1.6
C00021	CE6205	2.1.1.6
C00021	C00856	2.1.1.37
C00021	C01161	;2.1.1.6
C00021	C00213	;2.1.1.20
C00021	C04308	2.1.1.17
C00021	C04692	2.1.1.98
C00021	CE1918	2.1.1.6
C00021	C00073	;2.5.1.6;2.8.1.8;2.1.1.13;2.1.1.10
C00021	C02415	2.1.1.43
C00021	C00155	;2.1.1.13;3.3.1.1;2.1.1.10
C00021	CE5627	;2.1.1.6
C00021	C00483	2.1.1.49;2.1.1.6
C00021	C07295	2.1.1.137
C00021	gudac	2.1.1.2
C00021	C02339	2.1.1.56
C00021	C04833	2.1.1.62
C00021	C04748	2.1.1.100
C00021	C05313	2.1.1.114
C00021	C01586	2.1.1.6
C00021	CE2183	2.1.1.6
C00021	CE2122	2.1.1.6
C00021	CE2186	;2.1.1.67;2.1.1.43;2.1.1.62;2.1.1.60;2.1.1.61;2.1.1.49;4.1.1.50;2.1.1.114;2.1.1.137;2.1.1.20;2.1.1.37;2.1.1.36;2.1.1.31;2.1.1.33;2.1.1.32;2.1.1.17;2.1.1.72;2.1.1.13;2.1.1.77;2.1.1.10;2.1.1.56;2.1.1.59;2.5.1.6;2.1.1.8;2.1.1.100;2.1.1.98;2.1.1.125;3.3.1.1;1.16.1.8;2.1.1.2;2.1.1.1;2.1.1.6;2.1.1.4;2.8.1.8;2.1.1.28;2.1.1.29
C00021	C04441	2.1.1.98
C00021	C05576	2.1.1.6
C00021	C05299	2.1.1.6
C00021	C06213	2.1.1.49
C00021	C05584	2.1.1.6
C00021	C03542	2.1.1.67
C00021	C06409	1.16.1.8
C00021	C05594	2.1.1.6
C00021	pchol_hs	2.1.1.17
C00021	C05206	2.1.1.125
C00021	CE2179	;2.1.1.6
C00021	C05589	2.1.1.6
C00021	CE5626	;2.1.1.6
C00021	C02967	2.1.1.37
C00021	C04160	2.1.1.33
C00021	C04158	2.1.1.32
C00021	C00399	;2.1.1.114
C00021	C05127	2.1.1.8
C00021	C00157	;2.1.1.17
C00021	C05588	2.1.1.6
C00021	C04728	2.1.1.61
C00021	C03391	2.1.1.72
C00021	C00954	2.1.1.6
C00021	C00153	2.1.1.1
C00021	C05805	2.1.1.114
C00021	C00821	2.1.1.72
C00021	C00398	;2.1.1.49
C00021	C03702	2.1.1.43
C00021	C05298	;2.1.1.6
C00021	CE2182	2.1.1.6
C00021	C06453	2.1.1.13
C00021	C07453	;2.1.1.6
C00021	C00788	;2.1.1.28;2.1.1.6
C00021	C05660	2.1.1.4
C00021	C04311	2.1.1.77
C00021	C04156	2.1.1.36
C00021	C06212	2.1.1.49
C00021	C02031	2.1.1.56
C00021	C00581	2.1.1.2
C00021	C03711	2.1.1.28
C00021	CE2189	2.1.1.6
C00021	C05522	2.1.1.37
C00021	C04157	2.1.1.31
C00021	C00066	2.1.1.32;2.1.1.36;2.1.1.29;2.1.1.33;2.1.1.61
C00021	C00039	2.1.1.37
C00021	C01598	;2.1.1.49;2.1.1.4
C00021	CE2934	2.1.1.6
C00021	C07294	2.1.1.137
C00021	C03306	2.1.1.77
C00021	C02442	;2.1.1.49;2.1.1.6
C00021	C05320	2.1.1.125
C00021	CE2184	2.1.1.6
C00021	C05523	2.1.1.37
C00021	C00780	;2.1.1.49;2.1.1.4
C00021	C04155	2.1.1.32;2.1.1.36;2.1.1.29;2.1.1.33;2.1.1.61
C00021	C03758	;2.1.1.6
C00021	C05545	2.1.1.59;2.1.1.43;2.1.1.60
C00021	CE2176	2.1.1.6
C00021	C01977	2.1.1.31
C00021	C07308	2.1.1.137
C00021	C00037	;2.1.1.20
C00021	C00019	;2.1.1.67;2.1.1.43;2.1.1.62;2.1.1.60;2.1.1.61;2.1.1.49;4.1.1.50;2.1.1.114;2.1.1.137;2.1.1.20;2.1.1.37;2.1.1.36;2.1.1.31;2.1.1.33;2.1.1.32;2.1.1.17;2.1.1.72;2.1.1.13;2.1.1.77;2.1.1.10;2.1.1.56;2.1.1.59;2.5.1.6;2.1.1.8;2.1.1.100;2.1.1.98;2.1.1.125;3.3.1.1;1.16.1.8;2.1.1.2;2.1.1.1;2.1.1.6;2.1.1.4;2.8.1.8;2.1.1.28;2.1.1.29
C00021	C09642	;2.1.1.6
C00021	C02188	2.1.1.59;2.1.1.43;2.1.1.60
C00021	C01756	2.1.1.67
C00021	C00388	2.1.1.8
C00021	C05580	2.1.1.6
C00021	C02735	2.1.1.28
C00021	C05544	2.1.1.59;2.1.1.43;2.1.1.60
C00021	C05582	2.1.1.6
C00021	C00592	2.1.1.43
C00021	C05546	;2.1.1.59;2.1.1.43;2.1.1.60
C00021	C02918	2.1.1.1
C00021	CE2180	;2.1.1.6
C00021	C00978	2.1.1.4
C00021	C01241	;2.1.1.17
C00021	C01972	2.1.1.62
C00021	C00212	3.3.1.1
C01110	C00027	1.4.3.3
C01110	orn-D	1.4.3.3
C01110	C00014	1.4.3.3
C01110	C01342	1.4.3.3
C01110	C00515	1.4.3.3
C16632	C05145	3.5.1.6;3.5.2.2
C00041	C03740	3.5.1.14;2.3.2.2;2.3.2.4;3.4.11.1;3.4.11.2
C00041	C01205	2.6.1.40
C01157	C00026	;1.14.11.4;1.14.11.1;1.14.11.2;1.14.11.8;1.5.1.12;1.14.11.18;1.14.11.16
C01157	C00042	;1.5.1.12;1.14.11.1;6.1.1.15;1.14.11.2;3.4.11.5;1.5.1.2;5.1.1.4;2.8.3.5;1.14.11.8;1.5.99.8;1.2.1.24;1.3.5.1;1.14.11.18;1.14.11.4;1.14.11.16;6.2.1.4;6.2.1.5;1.3.99.1
C01157	C04398	1.14.11.2
C01157	C01352	;1.5.99.8;1.5.1.12;1.3.99.1
C01157	C01078	1.14.11.2
C01157	C04281	1.5.1.12;;1.5.1.2
C01157	C00016	;1.5.99.8;1.5.1.12;1.3.99.1
C01157	C00148	;1.5.1.12;1.14.11.1;6.1.1.15;1.14.11.2;3.4.11.5;1.5.1.2;5.1.1.4;2.8.3.5;1.14.11.8;1.5.99.8;1.2.1.24;1.3.5.1;1.14.11.18;1.14.11.4;1.14.11.16;6.2.1.4;6.2.1.5;1.3.99.1
C06054	C00025	2.6.1.52
C06054	C00026	2.6.1.52
C06054	C06055	2.6.1.52
C05145	C00099	3.5.1.6
C05145	C00014	3.5.1.6
C05145	C00060	3.5.1.6
C05145	C00241	3.5.1.6
C05145	C05100	3.5.1.6;3.5.2.2
C05145	C02642	3.5.1.6;3.5.2.2
C05145	C16631	3.5.1.6;3.5.2.2
C00027	C00314	;1.1.3.12;1.2.3.1;1.4.3.5
C00027	C03440	1.4.3.3
C03740	C01419	1.4.3.2;3.5.1.14;3.4.11.4;3.4.11.1;3.4.11.2;2.3.2.4;2.3.2.2
C03740	C00151	1.4.3.2;3.5.1.14;3.4.11.4;3.4.11.1;3.4.11.2;2.3.2.4;2.3.2.2
C03740	C00051	3.4.11.4;2.3.2.4;2.3.2.2
C03740	C01879	2.3.2.4;3.4.11.1;3.4.11.2
C03287	C01165	1.2.1.41
C00300	gudac	2.1.1.2;2.1.4.1
C00300	C00581	2.1.1.2;2.1.4.1;2.7.3.2
C00300	pcreat	2.7.3.2
C00300	C00019	2.1.1.2
C00300	C02305	2.7.3.2
C00077	C00437	3.5.1.14;3.5.1.16
C00077	C01165	;2.6.1.13
C00077	C00581	2.1.4.1
C00077	C00334	2.1.4.1
C00077	C01035	2.1.4.1
C00097	C00669	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C00014	C00314	;1.4.3.5
C00014	C01035	3.5.1.4
C00025	C03284	2.6.1.22
C00025	C00624	2.3.1.1
C00025	C01165	;1.5.1.12;2.6.1.13
C00025	C02356	2.6.1.2
C00025	C01205	2.6.1.40
C00025	C00669	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00334	4.1.1.19;4.1.1.15;2.6.1.19
C00647	C00314	3.1.3.74;;1.4.3.5;2.7.1.35
C03284	C00026	2.6.1.22
C03284	C06002	2.6.1.22
C03284	C00349	2.6.1.22
C00213	C01026	1.5.99.2
C00018	C00314	;3.1.3.74;1.4.3.5;2.7.1.35
C00026	C01165	;1.5.1.12;2.6.1.13
C00026	C02356	2.6.1.2
C00026	C01205	2.6.1.40
C00026	C00334	4.1.1.19;4.1.1.15;2.6.1.19
C00022	C01205	2.6.1.40
C04692	C04441	2.1.1.98
C00250	C00314	3.1.3.74;;1.2.3.8;1.4.3.5;1.2.3.1;2.7.1.35;1.1.3.12
C00073	C01026	2.1.1.5
C05520	C00430	2.3.1.37
C04282	C03440	1.4.3.3
C00314	C00706	1.4.3.5
C00314	C00534	3.1.3.74;;1.4.3.5;2.7.1.35
C00314	C00627	;3.1.3.74;1.4.3.5;2.7.1.35
C00314	C00071	1.4.3.5
C00437	C01602	3.5.1.16
C00437	C00033	3.5.1.14;3.5.1.16
C00155	C01026	2.1.1.5
CE1661	C02356	2.3.2.4;3.4.19.6;2.6.1.2
C00430	C00010	2.3.1.37
C00430	C00931	4.2.1.24
C00430	C00091	2.3.1.37
C00430	C00037	2.3.1.37
C00067	C01026	1.5.99.2
C02238	C02356	2.3.2.4;3.4.19.6;2.6.1.2
gudac	C00062	2.1.4.1
gudac	C01602	2.1.4.1
gudac	C00037	2.1.4.1
gudac	C00019	2.1.1.2
C01026	C00719	2.1.1.5
C01026	C00028	1.5.99.2
C01026	C00030	1.5.99.2
C01026	C01352	1.5.99.2
C01026	C00016	1.5.99.2
C00624	C00024	2.3.1.1
C00624	C00010	2.3.1.1
C01165	C01602	2.6.1.13
C01165	C03912	1.5.1.12;
C04441	C00019	2.1.1.98
C00062	C00581	2.1.4.1
C00062	C00334	4.1.1.19;2.1.4.1
C00062	C01035	4.1.1.19;2.1.4.1
C02356	C00109	2.6.1.2
C00033	C00334	3.5.1.63;1.2.1.3
C00555	C00334	1.2.1.19;1.2.1.3
C00581	C00037	2.1.4.1
C00581	C00019	2.1.1.2
C01205	C00349	2.6.1.40
C03078	C01035	3.5.1.4
C00669	C00037	;2.3.1.1;4.4.1.1;3.4.11.1;3.4.11.2;6.3.2.3;2.3.2.4;2.8.1.7
C00669	C00051	;6.3.2.3;2.3.2.4;1.8.4.4
C00669	C01879	;1.8.1.6;6.1.1.16;2.3.1.1;4.4.1.1;1.16.3.1;3.4.11.1;2.6.1.1;3.4.11.2;6.3.2.2;6.3.2.3;4.2.1.22;6.3.2.5;1.8.4.4;2.3.2.4;2.6.1.3;3.5.2.9;2.8.1.7;1.13.11.20
C00334	C02946	3.5.1.63;1.2.1.3
C00334	C01035	4.1.1.19;3.5.1.63;2.1.4.1;4.1.1.15;2.6.1.19;1.2.1.19;1.2.1.3;3.5.1.4
C00334	C00232	2.6.1.19
